developer	publisher	positive	negative	average_forever	average_2weeks	median_forever	median_2weeks	price	initialprice	languages	tags	genre	appid	num_lang
Johan Scherft	Second Maze	2124	33	32	0	37	0	1.99	1.99	English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish, Vietnamese	{'Adventure': 82, 'Point & Click': 61, 'Hidden Object': 51, 'Exploration': 49, 'Hand-drawn': 47, 'Colorful': 41, 'Cute': 41, 'Cats': 41, 'Singleplayer': 35, 'Indie': 31, 'Story Rich': 30, 'Puzzle': 10, '2D': 6}	Adventure, Indie	1407420	32
		0	0	0	0	0	0	0.0	0.0		[]		1290490	0
		0	0	59	0	69	0	0.0	0.0		[]		1715460	0
		0	0	0	0	0	0	0.0	0.0		[]		1727650	0
		0	0	0	0	0	0	0.0	0.0		[]		1641270	0
Black Tabby Games	Black Tabby Games	1258	10	0	0	0	0	24.99	24.99	English	{'Early Access': 211, 'Choices Matter': 191, 'Story Rich': 185, 'Horror': 183, 'Visual Novel': 180, 'Psychological Horror': 174, 'Multiple Endings': 168, 'Well-Written': 166, 'Interactive Fiction': 163, 'Dark Fantasy': 160, 'Lovecraftian': 152, 'Supernatural': 148, 'Mystery': 143, 'RPG': 133, 'Dark Humor': 132, 'Narrative': 123, 'Adventure': 113, 'Point & Click': 113, 'Choose Your Own Adventure': 101, 'Lore-Rich': 90}	Adventure, Casual, Indie, RPG, Early Access	1609230	1
Red Dot Games	PlayWay S.A.	18437	804	2506	1884	1202	1884	14.99	24.99	English, French, Italian, German, Spanish - Spain, Simplified Chinese, Japanese, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Korean, Turkish, Czech, Romanian, Arabic, Hungarian	{'Simulation': 191, 'Automobile Sim': 182, 'Sandbox': 152, 'Realistic': 139, 'Racing': 138, 'Moddable': 137, 'Driving': 124, '3D': 123, 'Immersive Sim': 107, 'Education': 103, 'First-Person': 103, 'Singleplayer': 100, 'Puzzle': 96, 'Open World': 75, 'Atmospheric': 72, 'Adventure': 67, 'Minigames': 63, 'Indie': 40, 'Strategy': 39, 'Great Soundtrack': 34}	Racing, Simulation	1190000	24
MistyMountainStudio	Gamera Games	5257	164	153	0	166	0	14.99	14.99	Simplified Chinese, English, Traditional Chinese	{'Adventure': 193, 'Mystery': 179, 'Puzzle': 173, 'Drama': 172, 'Pixel Graphics': 172, 'Singleplayer': 164, 'Detective': 159, '2D': 152, 'Atmospheric': 149, 'Point & Click': 140, 'Indie': 133, 'Story Rich': 132, 'Comedy': 116, 'Horror': 112, 'Thriller': 111, 'Supernatural': 104, 'Mythology': 99, 'Historical': 97, 'Stylized': 90, 'Lore-Rich': 82}	Adventure, Casual, Indie	1161170	5
Dinosaur Polo Club	Dinosaur Polo Club	15339	652	660	23	615	23	9.99	9.99	English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish	{'Strategy': 162, 'Casual': 161, 'Simulation': 159, 'Indie': 128, 'Management': 102, 'Puzzle': 93, 'Minimalist': 87, 'Relaxing': 75, 'Building': 68, 'Singleplayer': 64, 'Transportation': 59, 'Stylized': 50, 'Top-Down': 44, 'Beautiful': 41, 'City Builder': 40, 'Great Soundtrack': 36, 'Family Friendly': 34, 'Resource Management': 19, 'Multiplayer': 7, 'Touch-Friendly': 7}	Casual, Indie, Simulation, Strategy	1127500	20
South East Games	South East Games	21452	981	2058	77	637	102	19.99	19.99	English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian	"{'Gore': 419, 'Action': 386, 'Blood': 370, 'Fighting': 349, 'Violent': 342, 'Multiplayer': 341, 'First-Person': 322, 'Rogue-like': 302, 'Physics': 289, 'Funny': 276, 'Rogue-lite': 271, 'Voxel': 267, ""Beat 'em up"": 262, 'Singleplayer': 247, 'Indie': 238, 'FPS': 234, 'Mature': 231, 'Adventure': 229, 'Difficult': 227, 'Arcade': 221}"	Action, Indie	337320	35
