;App_id;24_Hour_Peak;All_time_peak
596;1823350;Invalid;Invalid
597;1260590;23;118
598;1545250;Invalid;Invalid
599;1743260;42;382
600;1235830;Invalid;Invalid
601;1055850;Invalid;Invalid
602;1752150;Invalid;Invalid
603;1117390;14;140
604;1667400;Invalid;Invalid
605;1273540;0;22
606;1585910;12;222
607;1594860;Invalid;Invalid
608;1434950;96;1683
609;1568880;Invalid;Invalid
610;1659050;8;28
611;1492160;Invalid;Invalid
612;1522950;1;6
613;1796180;Invalid;Invalid
614;1807930;1;45
615;1522560;Invalid;Invalid
616;1615100;10;209
617;1365750;1;182
618;1295270;28;2551
619;1532770;7;61
620;1106830;Invalid;Invalid
621;1691420;Invalid;Invalid
622;1724440;12;61
623;755410;Invalid;Invalid
624;1527060;Invalid;Invalid
625;1643440;Invalid;Invalid
626;1296360;45;648
627;1334910;Invalid;Invalid
628;1337530;Invalid;Invalid
629;1835810;Invalid;Invalid
630;1812760;3;8
631;1573750;Invalid;Invalid
632;1273750;0;19
633;1680000;16;60
634;1347600;0;31
635;1432200;0;6
636;1173800;66;3407
637;1458390;0;10
638;1495860;4;73
639;1428900;Invalid;Invalid
640;1584830;0;7
641;1335790;147;956
642;1546920;Invalid;Invalid
643;1492720;Invalid;Invalid
644;1602280;0;4
645;1543520;Invalid;Invalid
646;1552680;Invalid;Invalid
647;1663270;Invalid;Invalid
648;1540150;15;882
649;1285230;27;46
650;1830720;0;9
651;1490980;Invalid;Invalid
652;1574910;0;36
653;1794470;90;720
654;1502970;82;523
655;760640;64;92
656;1569440;Invalid;Invalid
657;973810;73;2149
658;1552350;71;4635
659;1507780;1;144
660;1755280;Invalid;Invalid
661;1720050;Invalid;Invalid
662;1452540;Invalid;Invalid
663;1594090;Invalid;Invalid
664;1654890;Invalid;Invalid
665;848050;28;54
666;1281590;59;4573
667;1466860;10294;73629
668;1591870;Invalid;Invalid
669;1642130;0;138
670;1745170;Invalid;Invalid
671;1355650;0;10
672;1368410;Invalid;Invalid
673;1319790;Invalid;Invalid
674;1327440;Invalid;Invalid
675;1586370;Invalid;Invalid
676;1671350;19;435
677;724680;Invalid;Invalid
678;1558970;Invalid;Invalid
679;1410830;Invalid;Invalid
680;880730;Invalid;Invalid
681;975270;25;224
682;1256060;Invalid;Invalid
683;1410840;Invalid;Invalid
684;1782380;509;3012
685;1477330;5;278
686;1520060;2;16
687;821880;80;2920
688;1684170;37;1018
689;1092400;3;96
690;1198210;0;16
691;1479390;0;11
692;1535490;Invalid;Invalid
693;1569550;Invalid;Invalid
694;1534270;Invalid;Invalid
695;1149620;469;12205
696;1269020;11;106
697;1275790;Invalid;Invalid
698;1558900;0;22
699;1625720;Invalid;Invalid
700;1578950;1;32
701;1510630;Invalid;Invalid
702;1513120;0;13
703;1661880;Invalid;Invalid
704;1520500;18;312
705;1504220;1;4
706;1407200;4123;6071
707;1525660;Invalid;Invalid
708;1695620;1;8
709;1586700;5;22
710;1677360;Invalid;Invalid
711;1580240;105;1261
712;1142080;12;132
713;1721530;0;126
714;1072750;0;32
715;1814710;Invalid;Invalid
716;1587260;Invalid;Invalid
717;1487590;3;97
718;1522930;0;67
719;1727220;Invalid;Invalid
720;1331210;3;147
721;1482770;1;25
722;1584280;Invalid;Invalid
723;1460540;0;85
724;1191120;120;1581
725;1106340;24;91
726;1528810;3;62
727;1048660;Invalid;Invalid
728;1801650;21;1829
729;1331670;Invalid;Invalid
730;726840;15;248
731;1692430;Invalid;Invalid
732;1372280;224;13182
733;1204440;Invalid;Invalid
734;1341900;Invalid;Invalid
735;1405950;0;4
736;1519590;0;30
737;1546440;1;8
738;1131620;177;442
739;1494470;15;118
740;1352200;Invalid;Invalid
741;1470120;Invalid;Invalid
742;1534340;2;17
743;1281400;Invalid;Invalid
744;1425130;Invalid;Invalid
745;686810;10320;18280
746;1632770;Invalid;Invalid
747;1802870;27;260
748;1791700;4;211
749;1547340;Invalid;Invalid
750;1613680;Invalid;Invalid
751;1793380;Invalid;Invalid
752;1517150;Invalid;Invalid
753;1380650;Invalid;Invalid
754;1604300;0;12
755;1647740;Invalid;Invalid
756;459840;1;11
757;1111600;Invalid;Invalid
758;1574470;Invalid;Invalid
759;1237070;6;54
760;1728830;Invalid;Invalid
761;1575670;Invalid;Invalid
762;1569470;0;13
763;1642260;2;12
764;1526490;830;7355
765;1426480;0;5
766;1504760;Invalid;Invalid
767;1037130;6;431
768;1546500;Invalid;Invalid
769;1223020;3;118
770;1641500;Invalid;Invalid
771;1655670;Invalid;Invalid
772;1594900;Invalid;Invalid
773;1253880;7;25
774;780290;1356;6900
775;1828640;Invalid;Invalid
776;1338020;Invalid;Invalid
777;1547290;Invalid;Invalid
778;1230800;15;37
779;1494500;Invalid;Invalid
780;1525320;Invalid;Invalid
781;1559760;Invalid;Invalid
782;1506080;0;3
783;1531040;0;17
784;1778500;Invalid;Invalid
785;1206610;151;3597
786;1820170;29;218
787;1213220;0;15
788;1250440;0;42
789;1505700;3;24
790;1103550;Invalid;Invalid
791;1441670;Invalid;Invalid
792;1606640;0;6
793;1628440;Invalid;Invalid
794;1644840;1;7
795;1606280;Invalid;Invalid
796;1406780;5;60
797;1594410;Invalid;Invalid
798;1191900;6;83
799;1402790;Invalid;Invalid
800;1394130;14;45
801;1816880;Invalid;Invalid
802;1476430;Invalid;Invalid
803;1255560;19;472
804;1448600;0;22
805;1371750;Invalid;Invalid
806;1557040;10;243
807;1595380;Invalid;Invalid
808;1577660;Invalid;Invalid
809;1570080;Invalid;Invalid
810;442210;Invalid;Invalid
811;1413480;121;1892
812;1259640;7;100
813;1451480;33;391
814;1570760;Invalid;Invalid
815;1348800;Invalid;Invalid
816;1134570;772;25575
817;1072640;0;79
818;1851380;6;33
819;1420650;Invalid;Invalid
820;1530630;Invalid;Invalid
821;1794780;Invalid;Invalid
822;1727000;Invalid;Invalid
823;1372210;0;14
824;1494950;Invalid;Invalid
825;1573580;Invalid;Invalid
826;1038370;17;1743
827;843180;Invalid;Invalid
828;1777750;1;16
829;1606340;57;1171
830;1403080;Invalid;Invalid
831;1288420;Invalid;Invalid
832;1538460;37;498
833;1502990;37;124
834;1657810;0;92
835;1109820;0;24
836;1571440;146;1111
837;1197260;704;2702
838;1482490;9;496
839;1653970;103;186
840;1460050;Invalid;Invalid
841;1461680;Invalid;Invalid
842;1758450;0;18
843;1638330;5;47
844;1397650;Invalid;Invalid
845;1158720;Invalid;Invalid
846;1441230;0;60
847;1543240;Invalid;Invalid
848;1092950;0;137
849;1395400;Invalid;Invalid
850;1335830;41;1537
851;1840490;Invalid;Invalid
852;1436920;Invalid;Invalid
853;1715850;0;13
854;1125880;Invalid;Invalid
855;1447330;0;2
856;1244460;1575;17298
857;1372810;71;8048
858;1027120;Invalid;Invalid
859;1107300;5;188
860;1131920;20;418
861;1445040;0;21
862;1460490;2;34
863;1642610;0;102
864;1374280;Invalid;Invalid
865;493520;1332;18813
866;557950;0;2
867;1538850;Invalid;Invalid
868;1097130;63;381
869;1648100;Invalid;Invalid
870;1566250;Invalid;Invalid
871;1612960;0;9
872;1123770;136;2971
873;1716120;40;1293
874;1509590;Invalid;Invalid
875;1143810;17;883
876;1363740;19;70
877;1651540;0;4
878;1280950;2;4
879;1574330;Invalid;Invalid
880;1705030;Invalid;Invalid
881;1774700;Invalid;Invalid
882;1601830;Invalid;Invalid
883;1584810;Invalid;Invalid
884;1432500;6;16
885;1777280;Invalid;Invalid
886;1533050;Invalid;Invalid
887;1123050;25;1983
888;757310;54;755
889;1695080;Invalid;Invalid
890;1739530;Invalid;Invalid
891;1706190;Invalid;Invalid
892;1692060;Invalid;Invalid
893;1074500;0;9
894;1270080;Invalid;Invalid
895;1632610;Invalid;Invalid
896;1677410;Invalid;Invalid
897;1716480;Invalid;Invalid
898;1794300;Invalid;Invalid
899;405010;Invalid;Invalid
900;1508270;Invalid;Invalid
901;1714580;5;70
902;1546870;0;14
903;1600530;115;353
904;1634870;10;24
905;1722020;28;811
906;1037120;3;28
907;469600;1083;5696
