,App_id,24_Hour_Peak,All_time_peak
37846,2210750,Invalid,Invalid
37847,1286680,1098,14957
37848,1461810,840,9202
37849,1602080,9,592
37850,1600780,16,32
37851,725100,0,176
37852,1892370,6,97
37853,1259580,Invalid,Invalid
37854,1289750,0,2
37855,1348750,1,6
37856,1492650,Invalid,Invalid
37857,1620850,Invalid,Invalid
37858,1653770,Invalid,Invalid
37859,1724160,Invalid,Invalid
37860,1744450,Invalid,Invalid
37861,1795410,Invalid,Invalid
37862,1807330,Invalid,Invalid
37863,1815970,0,17
37864,1816560,0,1
37865,1836280,Invalid,Invalid
37866,1863420,0,1
37867,1904590,0,1
37868,1943280,Invalid,Invalid
37869,2056110,5,29
37870,2091930,Invalid,Invalid
37871,2128440,Invalid,Invalid
37872,1684010,Invalid,Invalid
37873,1796080,0,5
37874,2089450,36,93
37875,1874770,Invalid,Invalid
37876,1309610,41,300
37877,1938990,9,58
37878,2110110,57,235
37879,1815010,Invalid,Invalid
37880,2116520,0,11
37881,1358710,27,853
37882,1489590,Invalid,Invalid
37883,2109380,Invalid,Invalid
37884,678390,Invalid,Invalid
37885,1773180,20,250
37886,1967320,2,267
37887,1965390,Invalid,Invalid
37888,1592190,175,5616
37889,1814930,0,8
37890,1928510,0,28
37891,1966700,Invalid,Invalid
37892,1701560,0,46
37893,1499690,Invalid,Invalid
37894,1571090,Invalid,Invalid
37895,1690990,0,2
37896,1860370,0,2
37897,1863920,Invalid,Invalid
37898,1906130,Invalid,Invalid
37899,1960330,0,22
37900,2007470,Invalid,Invalid
37901,2057110,0,1
37902,2139350,Invalid,Invalid
37903,2161120,Invalid,Invalid
37904,2242320,Invalid,Invalid
37905,1868000,12,1256
37906,1803550,11,33
37907,1374970,25,269
37908,1132910,Invalid,Invalid
37909,1729700,38,430
37910,1443100,0,3
37911,1814060,Invalid,Invalid
37912,1844170,0,3
37913,1881690,Invalid,Invalid
37914,1937180,Invalid,Invalid
37915,1977890,Invalid,Invalid
37916,2005430,Invalid,Invalid
37917,2072130,4,29
37918,937380,129,1163
37919,1608450,3,534
37920,1578160,1,50
37921,1751800,Invalid,Invalid
37922,1794530,1,8
37923,1356040,Invalid,Invalid
37924,1882160,0,1
37925,1990900,Invalid,Invalid
37926,1543090,Invalid,Invalid
37927,1220140,107,2240
37928,1097350,118,4605
37929,1973080,5,364
37930,1134520,8,87
37931,1577250,6,119
37932,1949980,4,58
37933,2154820,Invalid,Invalid
37934,1273440,24,128
37935,1587540,9,561
37936,1547380,Invalid,Invalid
37937,1523510,4,18
37938,1664410,Invalid,Invalid
37939,1070260,8,267
37940,1448990,Invalid,Invalid
37941,1851570,0,11
37942,1927380,Invalid,Invalid
37943,1969280,Invalid,Invalid
37944,2115650,Invalid,Invalid
37945,1584690,9,259
37946,1476680,Invalid,Invalid
37947,1823570,Invalid,Invalid
37948,1839440,Invalid,Invalid
37949,1913780,Invalid,Invalid
37950,1966070,3,20
37951,2199240,Invalid,Invalid
37952,1891090,Invalid,Invalid
37953,1894320,Invalid,Invalid
37954,1904040,Invalid,Invalid
37955,2059280,Invalid,Invalid
37956,2090230,31,90
37957,2015080,1,41
37958,1873440,Invalid,Invalid
37959,1803400,15,194
37960,932530,0,1
37961,1482970,Invalid,Invalid
37962,1554050,Invalid,Invalid
37963,1579300,Invalid,Invalid
37964,1728700,0,3
37965,1767950,Invalid,Invalid
37966,1837630,Invalid,Invalid
37967,1850420,Invalid,Invalid
37968,1854740,Invalid,Invalid
37969,1898990,Invalid,Invalid
37970,1923480,Invalid,Invalid
37971,1944730,Invalid,Invalid
37972,1981860,Invalid,Invalid
37973,2018530,Invalid,Invalid
37974,2062100,0,2
37975,2065110,Invalid,Invalid
37976,2071770,Invalid,Invalid
37977,2135190,Invalid,Invalid
37978,2141720,Invalid,Invalid
37979,1939270,0,11
37980,1856090,6,47
37981,1862030,Invalid,Invalid
37982,2069640,32,575
37983,597060,0,15
37984,1228320,Invalid,Invalid
37985,1345120,Invalid,Invalid
37986,1461960,Invalid,Invalid
37987,1536730,Invalid,Invalid
37988,1622470,Invalid,Invalid
37989,1779130,0,3
37990,1876150,Invalid,Invalid
37991,1904560,Invalid,Invalid
37992,1921390,0,5
37993,1999700,Invalid,Invalid
37994,2084520,Invalid,Invalid
37995,943370,93,770
37996,1958390,11,111
37997,1271100,5,103
37998,894960,0,1
37999,1090680,Invalid,Invalid
38000,1253650,Invalid,Invalid
38001,1285100,Invalid,Invalid
38002,1446370,Invalid,Invalid
38003,1534630,Invalid,Invalid
38004,1536890,Invalid,Invalid
38005,1547620,Invalid,Invalid
38006,1565450,0,2
38007,1580460,Invalid,Invalid
38008,1623310,Invalid,Invalid
38009,1709240,3,12
38010,1714020,Invalid,Invalid
38011,1721150,Invalid,Invalid
38012,1776600,Invalid,Invalid
38013,1803020,Invalid,Invalid
38014,1816690,0,1
38015,1817020,Invalid,Invalid
38016,1820030,Invalid,Invalid
38017,1826540,Invalid,Invalid
38018,1837160,Invalid,Invalid
38019,1844680,0,2
38020,1849210,Invalid,Invalid
38021,1849270,0,0
38022,1849800,Invalid,Invalid
38023,1868520,Invalid,Invalid
38024,1871230,Invalid,Invalid
38025,1877580,Invalid,Invalid
38026,1881010,0,7
38027,1886480,0,0
38028,1887360,Invalid,Invalid
38029,1895640,Invalid,Invalid
38030,1902350,Invalid,Invalid
38031,1908150,0,2
38032,1916090,Invalid,Invalid
38033,1920420,Invalid,Invalid
38034,1926810,Invalid,Invalid
38035,1935160,0,1
38036,1939040,Invalid,Invalid
38037,1945800,0,3
38038,1946650,Invalid,Invalid
38039,1948740,Invalid,Invalid
38040,1951140,0,3
38041,1957220,Invalid,Invalid
38042,1967390,Invalid,Invalid
38043,1971560,Invalid,Invalid
38044,1977190,Invalid,Invalid
38045,1986470,Invalid,Invalid
38046,1990730,0,1
38047,2004810,Invalid,Invalid
38048,2013030,0,1
38049,2013150,Invalid,Invalid
38050,2020570,Invalid,Invalid
38051,2051540,Invalid,Invalid
38052,2062330,Invalid,Invalid
38053,2063370,Invalid,Invalid
38054,2064370,Invalid,Invalid
38055,2069710,0,0
38056,2075170,Invalid,Invalid
38057,2090500,Invalid,Invalid
38058,2105940,0,0
38059,2107710,Invalid,Invalid
38060,2111410,Invalid,Invalid
38061,2133300,Invalid,Invalid
38062,2139710,Invalid,Invalid
38063,2140000,Invalid,Invalid
38064,2146320,Invalid,Invalid
38065,2146600,Invalid,Invalid
38066,2146680,Invalid,Invalid
38067,2156290,0,2
38068,2163790,0,1
38069,2172120,Invalid,Invalid
38070,2175530,Invalid,Invalid
38071,2190250,0,3
38072,2198650,Invalid,Invalid
38073,2198740,Invalid,Invalid
38074,2207030,Invalid,Invalid
38075,1220170,39,936
38076,958930,Invalid,Invalid
38077,1319400,0,9
38078,1491090,Invalid,Invalid
38079,1618330,0,4
38080,1879750,0,19
38081,1891350,Invalid,Invalid
38082,1896810,Invalid,Invalid
38083,1909020,6,12
38084,1983010,Invalid,Invalid
38085,2053250,Invalid,Invalid
38086,2081420,Invalid,Invalid
38087,2114670,0,2
38088,2167770,0,2
38089,1611420,Invalid,Invalid
38090,1973320,Invalid,Invalid
38091,2067590,3,119
38092,1907140,Invalid,Invalid
38093,2123140,8,143
38094,1153210,Invalid,Invalid
38095,690370,6,48
38096,1890740,Invalid,Invalid
38097,1924150,0,10
38098,2025520,0,20
38099,1571890,Invalid,Invalid
38100,2181990,0,1
38101,1612780,19,823
38102,1664360,1,327
38103,1842480,Invalid,Invalid
38104,2122170,0,5
38105,1889620,10,40
38106,2183600,15,111
38107,1738990,10,522
38108,1576000,Invalid,Invalid
38109,1705220,0,28
38110,698670,22,5387
38111,1315610,15,179
38112,1488560,7,55
38113,1412850,7,169
38114,1715980,1,61
38115,1876000,Invalid,Invalid
38116,2012100,Invalid,Invalid
38117,2136220,0,4
38118,2180740,Invalid,Invalid
38119,1323470,15,630
38120,1844300,Invalid,Invalid
38121,1164250,9,859
38122,1508400,Invalid,Invalid
38123,1949370,2,4
38124,2019950,Invalid,Invalid
38125,1831870,0,6
38126,1966500,Invalid,Invalid
38127,2098130,60,128
38128,2090150,2,28
38129,2124420,11,3002
38130,1287530,23,343
38131,2242100,2,52
38132,1672670,37,1096
38133,2113570,10,544
38134,1726120,9,310
38135,1807200,2,36
38136,1266630,295,1411
38137,1910130,5,48
38138,1559680,19,55
38139,2020510,8,54
38140,1222210,1,85
38141,1788110,Invalid,Invalid
38142,2091220,Invalid,Invalid
38143,843020,Invalid,Invalid
38144,1318280,Invalid,Invalid
38145,1628890,Invalid,Invalid
38146,1800920,Invalid,Invalid
38147,1869690,Invalid,Invalid
38148,1893050,Invalid,Invalid
38149,1914020,0,2
38150,1914050,Invalid,Invalid
38151,1917860,0,3
38152,1936210,0,3
38153,2105130,0,4
38154,2150950,Invalid,Invalid
38155,1332450,Invalid,Invalid
38156,1925760,Invalid,Invalid
38157,1551540,2,163
