;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
1158;1066420;0;True;;;;1.0;1.0;0.0;2.0;;;2021-Apr-28;2021-04-28
1159;1271380;0;False;full;1.0;;1.0;0.0;0.0;1.0;;;2021-an-7J;
1160;1706310;0;False;;1.0;;1.0;1.0;1.0;3.0;;;2021-ov-8N;
1161;1068360;0;False;full;1.0;;1.0;1.0;0.0;2.0;268.0;23.0;2021-May21-20;
1162;1505770;0;False;;;;1.0;0.0;0.0;1.0;;12.0;2021-Jan-25;2021-01-25
1163;1740760;0;False;full;;;1.0;0.0;0.0;1.0;;10.0;2021-ov-6N;
1164;1483350;0;False;;;;1.0;0.0;0.0;1.0;113.0;20.0;2021-Jan-15;2021-01-15
1165;1695480;0;False;full;;;1.0;1.0;0.0;2.0;;14.0;2021-Aug-10;2021-08-10
1166;1094520;0;False;;3.0;;1.0;0.0;0.0;1.0;19637.0;51.0;2021-Dec-15;2021-12-15
1167;1747650;0;True;full;;;1.0;0.0;0.0;1.0;;;2021-Oct-14;2021-10-14
1168;1321890;0;False;full;2.0;;1.0;0.0;0.0;1.0;;30.0;2021-Nov-12;2021-11-12
1169;1796630;0;False;full;;;1.0;0.0;0.0;1.0;;10.0;2021-Nov-19;2021-11-19
1170;492340;0;False;full;;;1.0;1.0;1.0;3.0;160.0;85.0;2021-ov-1N;
1171;1736570;0;False;full;;;1.0;0.0;0.0;1.0;;;2021-ec-8D;
1172;1361010;0;False;full;;;1.0;0.0;0.0;1.0;253.0;;2021-May-19;2021-05-19
1173;912380;0;True;;;;1.0;0.0;0.0;1.0;;1.0;2021-Mar-31;2021-03-31
1174;676030;0;False;;;;1.0;0.0;0.0;1.0;;30.0;2021-Jun-17;2021-06-17
1175;1844860;0;True;;1.0;;1.0;1.0;1.0;3.0;;10.0;2021-Dec-30;2021-12-30
1176;1511090;0;True;;1.0;;1.0;0.0;0.0;1.0;;;2021-Jan-14;2021-01-14
1177;1787160;0;False;;;;1.0;1.0;0.0;2.0;;55.0;2021-Nov-19;2021-11-19
1178;1075170;0;False;full;1.0;;1.0;1.0;0.0;2.0;;41.0;2021-May-27;2021-05-27
1179;738520;0;False;full;;71.0;1.0;0.0;0.0;1.0;11826.0;54.0;2021-Feb-25;2021-02-25
1180;1681160;0;True;;;;1.0;1.0;0.0;2.0;;;2021-Nov-11;2021-11-11
1181;1480830;0;False;full;;;1.0;0.0;0.0;1.0;269.0;8.0;2021-Oct-14;2021-10-14
1182;968550;0;False;;1.0;76.0;1.0;1.0;1.0;3.0;135.0;66.0;2021-Aug-30;2021-08-30
1183;1684610;0;False;;;;1.0;0.0;0.0;1.0;;6.0;2021-Jul-29;2021-07-29
1184;1704060;0;False;;;;1.0;0.0;0.0;1.0;427.0;;2021-ug-8A;
1185;1578100;0;False;;;;1.0;0.0;0.0;1.0;;;2021-Apr-27;2021-04-27
1186;1548650;0;False;;;;1.0;0.0;1.0;2.0;;;2021-Apr-23;2021-04-23
1187;1593950;0;False;;;;1.0;0.0;0.0;1.0;;13.0;2021-Aug-31;2021-08-31
1188;1620110;0;False;;;;1.0;0.0;0.0;1.0;;;2021-Jun-22;2021-06-22
1189;1809530;0;False;;1.0;;1.0;1.0;1.0;3.0;;20.0;2021-Nov-30;2021-11-30
