;App_id;24_Hour_Peak;All_time_peak
3486;804900;Invalid;Invalid
3487;851790;Invalid;Invalid
3488;864810;Invalid;Invalid
3489;789910;0;18
3490;747320;Invalid;Invalid
3491;385850;Invalid;Invalid
3492;499510;0;3
3493;542100;Invalid;Invalid
3494;548390;Invalid;Invalid
3495;724120;0;2
3496;727790;Invalid;Invalid
3497;743000;Invalid;Invalid
3498;763350;Invalid;Invalid
3499;787170;Invalid;Invalid
3500;787640;1;3
3501;810420;Invalid;Invalid
3502;827520;Invalid;Invalid
3503;829040;Invalid;Invalid
3504;835130;0;2
3505;836460;Invalid;Invalid
3506;840730;Invalid;Invalid
3507;852450;Invalid;Invalid
3508;881980;Invalid;Invalid
3509;883330;Invalid;Invalid
3510;885290;Invalid;Invalid
3511;916290;Invalid;Invalid
3512;958690;Invalid;Invalid
3513;972940;0;1
3514;989160;Invalid;Invalid
3515;991800;1;3
3516;772990;Invalid;Invalid
3517;700590;0;5
3518;772460;Invalid;Invalid
3519;774121;Invalid;Invalid
3520;847590;Invalid;Invalid
3521;860880;Invalid;Invalid
3522;864530;Invalid;Invalid
3523;874760;Invalid;Invalid
3524;937390;Invalid;Invalid
3525;963660;0;1
3526;868090;Invalid;Invalid
3527;878350;Invalid;Invalid
3528;828150;4;21
3529;842150;61;456
3530;566090;Invalid;Invalid
3531;596380;0;663
3532;762480;Invalid;Invalid
3533;817200;0;6
3534;848200;Invalid;Invalid
3535;903830;Invalid;Invalid
3536;780020;Invalid;Invalid
3537;837600;Invalid;Invalid
3538;976850;Invalid;Invalid
3539;595300;1;35
3540;667620;Invalid;Invalid
3541;799620;Invalid;Invalid
3542;815420;Invalid;Invalid
3543;945920;Invalid;Invalid
3544;958790;Invalid;Invalid
3545;874460;Invalid;Invalid
3546;809000;7;23
3547;752380;Invalid;Invalid
3548;588230;Invalid;Invalid
3549;735500;Invalid;Invalid
3550;744750;Invalid;Invalid
3551;751470;Invalid;Invalid
3552;851980;Invalid;Invalid
3553;649770;Invalid;Invalid
3554;602300;Invalid;Invalid
3555;723330;39;1203
3556;751730;Invalid;Invalid
3557;761760;0;4
3558;791400;0;8
3559;857850;0;2
3560;933380;Invalid;Invalid
3561;987570;Invalid;Invalid
3562;998850;0;4
3563;611020;Invalid;Invalid
3564;680330;Invalid;Invalid
3565;727720;Invalid;Invalid
3566;588990;0;2
3567;659220;Invalid;Invalid
3568;800670;Invalid;Invalid
3569;859220;Invalid;Invalid
3570;930850;Invalid;Invalid
3571;956360;Invalid;Invalid
3572;987800;3;5
3573;500150;15;68
3574;773520;Invalid;Invalid
3575;955060;Invalid;Invalid
3576;700470;Invalid;Invalid
3577;836620;6;14584
3578;808290;200;608
3579;635880;1;1967
3580;530830;Invalid;Invalid
3581;671920;Invalid;Invalid
3582;640760;Invalid;Invalid
3583;782380;Invalid;Invalid
3584;824420;Invalid;Invalid
3585;863220;Invalid;Invalid
3586;867550;Invalid;Invalid
3587;875670;Invalid;Invalid
3588;944630;Invalid;Invalid
3589;953580;48;411
3590;795680;Invalid;Invalid
3591;574200;3;31
3592;949530;Invalid;Invalid
3593;979330;0;17
3594;559360;Invalid;Invalid
3595;604630;Invalid;Invalid
3596;652460;Invalid;Invalid
3597;712890;Invalid;Invalid
3598;721480;Invalid;Invalid
3599;735030;Invalid;Invalid
3600;763380;Invalid;Invalid
3601;769580;Invalid;Invalid
3602;780630;Invalid;Invalid
3603;784110;Invalid;Invalid
3604;786770;Invalid;Invalid
3605;790960;Invalid;Invalid
3606;791600;Invalid;Invalid
3607;800910;Invalid;Invalid
3608;802780;Invalid;Invalid
3609;805840;Invalid;Invalid
3610;806350;0;1
3611;816730;Invalid;Invalid
3612;819220;Invalid;Invalid
3613;830390;Invalid;Invalid
3614;832690;Invalid;Invalid
3615;833540;0;1
3616;864500;Invalid;Invalid
3617;865990;Invalid;Invalid
3618;869440;Invalid;Invalid
3619;881260;Invalid;Invalid
3620;883810;Invalid;Invalid
3621;886830;0;3
3622;903640;Invalid;Invalid
3623;905460;Invalid;Invalid
3624;913840;Invalid;Invalid
3625;915570;Invalid;Invalid
3626;918120;Invalid;Invalid
3627;923080;0;1
3628;925360;Invalid;Invalid
3629;927050;Invalid;Invalid
3630;928160;Invalid;Invalid
3631;929280;Invalid;Invalid
3632;932300;Invalid;Invalid
3633;946690;Invalid;Invalid
3634;948340;Invalid;Invalid
3635;950250;Invalid;Invalid
3636;965880;Invalid;Invalid
3637;969350;0;3
3638;973860;Invalid;Invalid
3639;974040;Invalid;Invalid
3640;979620;Invalid;Invalid
3641;982750;0;2
3642;982770;Invalid;Invalid
3643;991660;Invalid;Invalid
3644;993200;Invalid;Invalid
3645;779560;Invalid;Invalid
3646;818620;Invalid;Invalid
3647;819800;Invalid;Invalid
3648;826170;0;2
3649;835630;Invalid;Invalid
3650;843080;Invalid;Invalid
3651;853610;Invalid;Invalid
3652;867640;0;2
3653;905510;Invalid;Invalid
3654;953170;Invalid;Invalid
3655;975600;0;7
3656;977540;Invalid;Invalid
3657;595260;Invalid;Invalid
3658;475070;Invalid;Invalid
3659;829210;Invalid;Invalid
3660;844950;Invalid;Invalid
3661;857180;Invalid;Invalid
3662;961860;Invalid;Invalid
3663;752560;Invalid;Invalid
3664;763750;Invalid;Invalid
3665;793220;Invalid;Invalid
3666;793620;Invalid;Invalid
3667;827130;Invalid;Invalid
3668;832520;Invalid;Invalid
3669;867390;Invalid;Invalid
3670;972280;0;2
3671;987580;Invalid;Invalid
3672;844330;Invalid;Invalid
3673;377260;Invalid;Invalid
3674;849790;Invalid;Invalid
3675;957430;0;2
