appid,new_date
1907980,2022-03-02
1872740,2022-02-21
2066360,2022-08-12
1755030,2022-07-14
1879330,2022-07-12
1911980,2022-04-27
1910320,2022-04-13
1885030,2022-03-31
1483370,2022-05-21
1896900,2022-06-21
1987060,2022-06-06
2076250,2022-08-10
1763620,2022-01-20
1829910,2022-04-01
1860900,2022-12-21
1084220,2022-03-18
1714080,2022-01-18
1919500,2022-05-03
1843350,2022-05-23
1819160,2022-06-10
1929870,2022-10-09
1881200,2022-06-30
1712950,2022-01-26
1853260,2022-01-25
1957230,2022-09-21
1156380,2022-09-09
1301010,2022-12-08
1755580,2022-06-30
1727180,2022-09-28
1707870,2022-05-05
1097100,2022-01-26
1850360,2022-05-27
1247360,2022-03-10
1843430,2022-09-21
1899700,2022-02-23
1704730,2022-10-06
2076260,2022-12-05
1380910,2022-10-12
1886070,2022-10-26
1508530,2022-04-12
1452210,2022-12-23
1844100,2022-05-14
1945250,2022-04-19
1627310,2022-10-11
1877710,2022-04-08
1629520,2022-11-08
1808120,2022-04-27
1491200,2022-04-28
1908870,2022-06-23
1297790,2022-05-16
1808900,2022-01-20
2096610,2022-11-17
1898290,2022-10-12
1915740,2022-04-15
2063420,2022-07-22
1933640,2022-03-27
1491340,2022-09-30
1881120,2022-11-11
2140900,2022-10-27
1850740,2022-07-28
1728660,2022-04-13
1581500,2022-06-11
1709700,2022-11-03
2023910,2022-07-18
2197950,2022-11-14
1815340,2022-01-21
2114370,2022-08-27
1931240,2022-06-16
1259140,2022-06-04
1492620,2022-05-19
2004180,2022-10-14
1930440,2022-08-15
2168610,2022-10-13
1779180,2022-01-27
2083250,2022-09-17
1347550,2022-02-22
1468720,2022-05-12
1879280,2022-09-09
1873510,2022-07-28
1748230,2022-09-01
1799190,2022-01-28
1876560,2022-05-11
1965610,2022-11-04
1996600,2022-10-12
1844330,2022-07-13
1968730,2022-08-18
1493520,2022-11-14
1603640,2022-12-23
1882280,2022-03-29
1605320,2022-10-12
1372110,2022-09-01
1701460,2022-02-04
1812060,2022-09-29
2098470,2022-08-12
1779460,2022-05-17
1902650,2022-10-27
1949010,2022-09-21
2089490,2022-07-29
1587860,2022-01-28
2135990,2022-11-07
1853840,2022-01-14
1885690,2022-05-20
1702840,2022-09-15
1767320,2022-01-19
1862880,2022-03-24
1811600,2022-07-28
1184820,2022-11-14
1384940,2022-10-12
1629940,2022-11-03
1737980,2022-05-20
1983580,2022-09-15
2163620,2022-11-29
2054740,2022-07-13
2094750,2022-11-16
1232100,2022-06-15
1543380,2022-03-03
1847240,2022-03-28
1777000,2022-08-01
2025650,2022-10-29
1757490,2022-12-22
1170080,2022-09-15
1677570,2022-10-30
285110,2022-01-14
2026870,2022-09-15
1829620,2022-01-20
698700,2022-02-10
1973450,2022-06-24
2090700,2022-10-25
1474120,2022-03-11
1895860,2022-08-26
1920660,2022-03-26
1550760,2022-04-13
2062210,2022-09-23
2190290,2022-12-09
1393420,2022-06-02
1937750,2022-12-15
1901340,2022-03-11
1981380,2022-07-11
1944060,2022-09-15
1934100,2022-05-06
2185290,2022-11-21
1881350,2022-03-04
1233410,2022-09-02
2113490,2022-11-09
1608470,2022-04-19
1750600,2022-02-25
2093950,2022-11-25
2127230,2022-09-09
1674890,2022-01-15
1809650,2022-02-07
2214950,2022-11-13
2137630,2022-09-30
1345860,2022-02-10
2027530,2022-07-19
1743080,2022-03-01
1489120,2022-05-31
1905270,2022-05-13
1261300,2022-01-10
1351140,2022-01-25
1521810,2022-07-29
1860550,2022-01-25
1990050,2022-12-23
1807080,2022-01-07
1948620,2022-10-28
1829640,2022-04-05
1774890,2022-06-17
2091790,2022-10-07
1960590,2022-09-13
1997080,2022-07-09
2006330,2022-06-30
1276070,2022-08-16
2093420,2022-08-26
1000700,2022-01-07
1620540,2022-10-14
1770820,2022-03-30
1792270,2022-05-05
1910260,2022-06-10
1960920,2022-06-10
1394480,2022-03-02
2167220,2022-11-14
1486080,2022-01-18
1403020,2022-05-05
1441550,2022-09-24
1512480,2022-12-06
1514950,2022-08-17
1676910,2022-03-17
1856030,2022-12-20
2118130,2022-10-25
1705930,2022-03-21
1818690,2022-06-20
1856480,2022-01-28
2085920,2022-10-01
1492730,2022-11-01
1435470,2022-09-18
2060550,2022-07-08
1051350,2022-07-26
1575070,2022-06-03
1693310,2022-02-11
1796060,2022-04-11
1958400,2022-08-08
1960400,2022-08-12
2088680,2022-08-05
2207520,2022-11-28
1461920,2022-01-12
1810270,2022-10-05
1552310,2022-04-07
1715730,2022-09-15
1091320,2022-07-25
1367490,2022-08-26
1773700,2022-06-01
982290,2022-03-07
2087290,2022-08-11
2179380,2022-11-23
1617580,2022-04-15
1987080,2022-06-20
1388870,2022-08-11
1835870,2022-01-21
2088360,2022-09-09
1442670,2022-08-22
2061230,2022-10-10
1947350,2022-05-05
1702830,2022-02-14
1343240,2022-08-18
1768550,2022-06-17
1948430,2022-07-01
777470,2022-10-29
2104790,2022-08-22
1766100,2022-10-19
1658930,2022-03-12
720660,2022-08-26
1590190,2022-08-17
1711420,2022-07-13
2064580,2022-10-11
1649080,2022-08-09
1670870,2022-07-08
1883580,2022-02-04
2205950,2022-11-18
1787760,2022-02-28
2088520,2022-08-04
1893860,2022-02-26
1285060,2022-11-08
1918040,2022-10-27
1484620,2022-05-27
1109680,2022-08-16
1443630,2022-12-08
1709070,2022-05-29
1827600,2022-01-20
2103710,2022-11-07
1851280,2022-04-21
1413020,2022-06-18
1815230,2022-06-16
2135500,2022-11-04
1354830,2022-04-14
1658880,2022-12-17
1966580,2022-05-09
1851730,2022-01-07
1960630,2022-04-22
2061750,2022-10-14
1862940,2022-01-25
1763050,2022-01-06
1033080,2022-02-09
1512720,2022-03-31
917140,2022-10-18
1206090,2022-05-30
2145490,2022-10-22
1046790,2022-05-19
1454540,2022-11-17
1945060,2022-04-14
1843090,2022-03-19
2165030,2022-10-21
1290880,2022-07-22
1763190,2022-07-29
1393570,2022-03-23
1781030,2022-06-01
1550730,2022-08-18
1529160,2022-03-04
1911560,2022-03-25
2175650,2022-12-11
1890520,2022-03-11
1096140,2022-10-12
2176940,2022-11-04
2009800,2022-06-09
1614360,2022-06-15
1390700,2022-12-15
1653050,2022-07-08
1961790,2022-05-06
2175250,2022-11-26
2222200,2022-11-25
1044720,2022-08-09
1770830,2022-01-20
1883570,2022-03-05
1935490,2022-03-28
1979320,2022-09-01
2213770,2022-11-30
1315980,2022-05-12
1722840,2022-07-28
1775110,2022-01-17
1647390,2022-03-03
1703930,2022-08-04
1709180,2022-07-23
1874810,2022-02-04
1927140,2022-03-31
2226780,2022-12-07
2228140,2022-12-23
1732330,2022-01-19
747200,2022-05-24
1772820,2022-02-16
1849040,2022-04-08
2015040,2022-10-14
1998330,2022-10-25
1298140,2022-06-28
1394460,2022-11-22
1842050,2022-11-01
1865680,2022-01-31
2077870,2022-08-05
1933980,2022-07-04
745920,2022-09-06
1750710,2022-09-30
1800790,2022-10-22
1768780,2022-10-19
1985510,2022-10-18
1012110,2022-12-16
685670,2022-02-10
1493730,2022-07-05
1999170,2022-06-01
1884990,2022-10-04
567590,2022-10-17
1054350,2022-08-17
1448840,2022-05-26
1893020,2022-10-28
1948870,2022-10-14
1972740,2022-05-09
2012500,2022-06-14
2052680,2022-08-10
2062920,2022-07-07
1067220,2022-11-03
886200,2022-04-20
1512390,2022-11-30
1670120,2022-04-01
1749430,2022-10-17
2012440,2022-10-22
2163450,2022-12-07
1785000,2022-04-07
2171920,2022-11-24
1674820,2022-03-29
1582410,2022-10-05
2158900,2022-12-16
1885670,2022-04-30
861650,2022-09-22
1272320,2022-02-09
1649630,2022-01-09
1846920,2022-04-12
2111040,2022-11-18
1894080,2022-10-07
1811430,2022-07-19
1843880,2022-03-18
1865100,2022-02-20
1952740,2022-06-19
2022380,2022-07-08
2072170,2022-11-28
2083180,2022-11-03
1917450,2022-05-28
2144350,2022-09-27
1725620,2022-01-07
1734250,2022-10-06
2065800,2022-12-14
2130540,2022-11-26
2100050,2022-10-10
2016220,2022-07-29
1921740,2022-10-18
1978100,2022-10-11
1696220,2022-03-31
2110510,2022-09-06
1683430,2022-02-08
1569200,2022-09-29
1519010,2022-07-07
1928010,2022-04-06
1679220,2022-12-15
1747830,2022-08-16
1887250,2022-03-14
1658290,2022-05-10
1698030,2022-01-20
1822710,2022-03-04
1998050,2022-07-04
1745310,2022-03-23
1929420,2022-05-03
1833300,2022-03-16
2027000,2022-06-23
1428140,2022-01-31
1999140,2022-06-15
1975670,2022-06-20
1417890,2022-03-31
1867530,2022-12-08
1346770,2022-01-22
1468160,2022-03-09
1378990,2022-10-18
1865130,2022-01-25
1664670,2022-03-29
1931690,2022-10-13
1227280,2022-09-29
1239320,2022-03-23
1823710,2022-03-28
1810610,2022-03-02
848080,2022-11-02
1339110,2022-12-08
1465640,2022-03-14
1531620,2022-01-13
2000300,2022-10-20
2169730,2022-11-11
1952170,2022-07-04
2097540,2022-08-25
2162960,2022-10-17
1826090,2022-03-11
1833560,2022-08-12
1946990,2022-04-15
1994440,2022-08-05
2128530,2022-11-02
1364210,2022-11-10
2078290,2022-12-06
1175840,2022-09-15
1898610,2022-06-20
1620720,2022-12-08
1892950,2022-06-02
1858500,2022-05-02
1760240,2022-01-17
1914740,2022-05-05
2081180,2022-07-27
2095180,2022-10-15
1859360,2022-03-28
1966290,2022-10-26
1829540,2022-03-28
2130680,2022-09-16
1847390,2022-01-11
2021910,2022-07-16
1575450,2022-12-17
1494910,2022-04-13
1849820,2022-03-14
1639300,2022-08-30
2091370,2022-09-22
826540,2022-12-19
1968320,2022-10-12
1553120,2022-05-05
1866430,2022-08-30
1497710,2022-06-30
1681010,2022-01-26
1719690,2022-03-31
1869870,2022-08-09
1989310,2022-08-17
2053360,2022-11-07
2173670,2022-12-19
1745690,2022-07-08
1211240,2022-10-14
1702980,2022-02-11
1956670,2022-10-15
2182690,2022-11-12
1889640,2022-03-31
1917090,2022-05-27
1671480,2022-04-14
1240590,2022-08-18
1114290,2022-01-20
1988630,2022-06-08
1986230,2022-06-03
2005950,2022-06-25
2063500,2022-11-14
1867610,2022-03-13
2018830,2022-09-14
1863670,2022-09-30
1429500,2022-12-15
1116880,2022-04-13
2152630,2022-12-12
2017890,2022-06-19
1862020,2022-02-07
1904610,2022-03-29
1921560,2022-06-18
1850270,2022-08-30
2061020,2022-10-21
1839180,2022-04-26
1909800,2022-03-24
2128220,2022-11-15
2218420,2022-12-02
1588610,2022-11-22
1592360,2022-09-02
1616520,2022-12-02
1655420,2022-07-15
1741080,2022-10-06
1874950,2022-12-22
1877000,2022-03-10
1890550,2022-05-19
1939500,2022-04-04
1969850,2022-06-13
2112150,2022-08-25
2121190,2022-09-15
1266430,2022-09-26
1986310,2022-05-25
1763150,2022-07-24
1642170,2022-03-15
1912460,2022-03-14
1916930,2022-03-10
1812090,2022-07-14
1886290,2022-10-18
2001970,2022-11-04
2077550,2022-08-15
997010,2022-11-10
951820,2022-07-27
2068280,2022-12-15
1345440,2022-05-12
1846040,2022-01-15
1970060,2022-08-30
2019370,2022-09-05
2210780,2022-11-22
1556790,2022-09-13
347800,2022-11-03
1699860,2022-01-24
1895920,2022-05-03
1363680,2022-10-05
1719550,2022-07-07
1771440,2022-03-01
1926390,2022-07-13
1931060,2022-03-23
1943740,2022-05-13
1954020,2022-07-22
1959510,2022-04-27
2016540,2022-06-16
2158130,2022-10-24
1918130,2022-04-01
1843940,2022-05-11
1590910,2022-04-07
1921760,2022-06-13
1631350,2022-07-15
1909220,2022-12-17
2059250,2022-07-01
1793030,2022-12-01
885510,2022-09-19
