;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
5059;1345940;0;False;;1.0;;1.0;1.0;1.0;3.0;;22.0;2020-Dec-31;2020-12-31
5060;1347350;0;False;;;;1.0;0.0;0.0;1.0;;7.0;2020-Jul-20;2020-07-20
5061;1395010;0;False;;;;1.0;0.0;0.0;1.0;;;2020-ep-3S;
5062;1430740;0;False;;;;1.0;0.0;0.0;1.0;;;2020-ct-8O;
5063;1440020;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Oct-21;2020-10-21
5064;1447730;0;False;;;;1.0;0.0;0.0;1.0;;7.0;2020-ov-5N;
5065;1189800;0;False;;1.0;;1.0;0.0;0.0;1.0;1424.0;10.0;2020-Mar-24;2020-03-24
5066;1422260;0;False;;;;1.0;0.0;0.0;1.0;140.0;13.0;2020-Nov-11;2020-11-11
5067;1248550;0;False;full;;;1.0;0.0;0.0;1.0;;28.0;2020-Nov-17;2020-11-17
5068;1478600;0;False;;;;1.0;0.0;0.0;1.0;;;2020-ec-4D;
5069;1281390;0;False;;;;1.0;0.0;0.0;1.0;;8.0;2020-ay-6M;
5070;1213640;0;False;;;;1.0;0.0;0.0;1.0;;6.0;2020-an-2J;
5071;1222180;0;False;full;;;1.0;0.0;0.0;1.0;;5.0;2020-Aug-12;2020-08-12
5072;1282930;0;False;full;;;1.0;0.0;0.0;1.0;;26.0;2020-Aug-12;2020-08-12
5073;1089590;0;False;;;;1.0;0.0;0.0;1.0;;9.0;2020-an-4J;
5074;1142410;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Mar-16;2020-03-16
5075;1178180;0;False;;;;1.0;0.0;0.0;1.0;;5.0;2020-Jan-27;2020-01-27
5076;1259990;0;False;full;;;1.0;0.0;0.0;1.0;;3.0;2020-Mar-23;2020-03-23
5077;1269240;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Apr-22;2020-04-22
5078;1292280;0;False;;2.0;;1.0;0.0;0.0;1.0;;24.0;2020-ay-6M;
5079;1367780;0;True;;;;1.0;0.0;0.0;1.0;;;2020-Sep-25;2020-09-25
5080;1368960;0;False;full;;;1.0;0.0;0.0;1.0;;25.0;2020-ov-3N;
5081;1209360;0;False;full;2.0;;1.0;0.0;0.0;1.0;;25.0;2020-Oct-15;2020-10-15
5082;941570;0;False;full;;74.0;1.0;0.0;0.0;1.0;170.0;40.0;2020-ug-3A;
5083;1201630;0;False;;2.0;;1.0;0.0;0.0;1.0;873.0;;2020-an-3J;
5084;1361500;0;False;;;;1.0;0.0;0.0;1.0;;7.0;2020-Jul-27;2020-07-27
5085;982670;0;False;full;;;1.0;0.0;0.0;1.0;;17.0;2020-ug-6A;
5086;1051900;0;False;full;;;1.0;0.0;0.0;1.0;;23.0;2020-ov-5N;
5087;1308870;0;True;;;;1.0;1.0;0.0;2.0;;;2020-ay-9M;
5088;1066160;0;False;;;;1.0;0.0;0.0;1.0;;;2020-pr-4A;
5089;1313530;0;False;;;;1.0;0.0;0.0;1.0;;6.0;2020-May-29;2020-05-29
5090;1178160;;;;;;;;;;;;;
5091;1173150;0;False;;;;1.0;0.0;0.0;1.0;;21.0;2020-Jun-19;2020-06-19
5092;1465390;0;False;;;;1.0;0.0;0.0;1.0;;20.0;2020-Nov-27;2020-11-27
5093;1344110;;;;;;;;;;;;;
5094;846730;0;False;full;;;1.0;0.0;0.0;1.0;124.0;23.0;2020-Jan-23;2020-01-23
5095;1054450;0;True;;;;1.0;1.0;0.0;2.0;;;2020-un-5J;
5096;1249780;0;False;full;1.0;;1.0;0.0;0.0;1.0;;9.0;2020-ov-5N;
5097;1351450;0;False;;;;1.0;0.0;0.0;1.0;137.0;;2020-Jun-24;2020-06-24
5098;1226690;0;False;;;;1.0;0.0;0.0;1.0;;30.0;2020-ar-5M;
5099;1254530;0;True;;;;1.0;0.0;0.0;1.0;;;2020-May-26;2020-05-26
5100;1239440;0;False;;;;1.0;0.0;0.0;1.0;143.0;40.0;2020-Apr-30;2020-04-30
5101;1284390;0;False;;;;1.0;0.0;0.0;1.0;;14.0;2020-May-15;2020-05-15
5102;1302180;0;False;;;;1.0;0.0;0.0;1.0;;8.0;2020-Jun-14;2020-06-14
5103;1308760;0;False;full;;;1.0;1.0;1.0;3.0;;33.0;2020-Oct-16;2020-10-16
5104;1459930;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Nov-18;2020-11-18
5105;1412780;0;False;;;;1.0;1.0;1.0;3.0;155.0;10.0;2020-ct-7O;
5106;389800;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Dec-23;2020-12-23
5107;593100;0;False;;;;1.0;1.0;1.0;3.0;;26.0;2020-ep-9S;
5108;1076790;0;False;;;;1.0;0.0;0.0;1.0;;75.0;2020-Oct-13;2020-10-13
5109;1173230;0;False;;;;1.0;1.0;0.0;2.0;;;2020-Feb-12;2020-02-12
5110;1254950;0;True;full;;;1.0;0.0;0.0;1.0;;;2020-Aug-11;2020-08-11
5111;1271620;0;False;full;;;1.0;0.0;0.0;1.0;;29.0;2020-May-28;2020-05-28
5112;1355810;0;False;;2.0;;1.0;0.0;0.0;1.0;;24.0;2020-Jul-15;2020-07-15
5113;1421320;0;False;;;;1.0;1.0;1.0;3.0;;28.0;2020-Oct-22;2020-10-22
5114;903710;0;False;;;;1.0;0.0;0.0;1.0;;14.0;2020-Jul-12;2020-07-12
5115;1090250;0;False;;;;1.0;0.0;0.0;1.0;400.0;;2020-Dec-18;2020-12-18
5116;1020780;0;True;;;;1.0;0.0;0.0;1.0;;20.0;2020-May-22;2020-05-22
5117;1298670;0;False;full;;;1.0;0.0;0.0;1.0;;23.0;2020-Jul-17;2020-07-17
5118;1166310;12;False;;;;1.0;0.0;0.0;1.0;;;2020-May-10;2020-05-10
5119;1107440;0;False;;;;1.0;0.0;0.0;1.0;;56.0;2020-Feb-13;2020-02-13
5120;1272340;0;True;;;;1.0;0.0;0.0;1.0;;;2020-ep-1S;
5121;1290110;0;False;full;;;1.0;1.0;0.0;2.0;;10.0;2020-Apr-16;2020-04-16
5122;1325370;0;False;;;;1.0;1.0;0.0;2.0;;;2020-un-9J;
5123;1368350;0;True;;;;1.0;0.0;0.0;1.0;;;2020-Jul-28;2020-07-28
5124;1432350;0;False;;;;1.0;0.0;0.0;1.0;;17.0;2020-Oct-30;2020-10-30
5125;838410;0;False;;;;1.0;1.0;1.0;3.0;;4.0;2020-May-15;2020-05-15
