appid,new_date
1204440,2021-02-12
1528810,2021-11-18
1048660,2021-04-14
1801650,2021-12-03
1331670,2021-03-31
726840,2021-08-24
1372280,2021-09-30
1692430,2021-08-09
1341900,2021-12-02
1405950,2021-02-26
1519590,2021-03-23
1546440,2021-02-24
1131620,2021-10-07
1494470,2021-07-30
1352200,2021-06-17
1470120,2021-07-30
1534340,2021-03-29
1106340,2021-09-02
1281400,2021-09-17
1425130,2021-06-10
686810,2021-07-27
1632770,2021-07-09
1802870,2021-11-19
1791700,2021-11-17
1547340,2021-02-27
1613680,2021-05-21
1793380,2021-11-17
1517150,2021-06-22
1237070,2021-07-29
1380650,2021-07-30
1604300,2021-12-06
1647740,2021-11-01
459840,2021-10-29
1111600,2021-10-20
1574470,2021-04-02
1728830,2021-12-15
1575670,2021-09-30
1569470,2021-12-25
1642260,2021-11-19
1426480,2021-03-19
1504760,2021-01-10
1526490,2021-10-20
1037130,2021-03-25
1546500,2021-03-04
1223020,2021-12-31
1338020,2021-07-01
1641500,2021-05-28
1655670,2021-11-16
1594900,2021-04-30
780290,2021-10-20
1253880,2021-07-30
1828640,2021-12-15
1547290,2021-07-09
1230800,2021-03-10
1494500,2021-02-16
1525320,2021-02-24
1559760,2021-07-03
1506080,2021-06-08
1531040,2021-02-26
1206610,2021-12-02
1778500,2021-10-21
1213220,2021-09-01
1250440,2021-06-16
1505700,2021-02-09
1406780,2021-05-20
1103550,2021-03-24
1441670,2021-04-23
1606640,2021-05-05
1628440,2021-09-25
1394130,2021-06-04
1644840,2021-06-17
1606280,2021-11-16
1820170,2021-12-18
1594410,2021-05-24
1402790,2021-01-05
1255560,2021-08-26
1816880,2021-12-07
1476430,2021-02-19
1448600,2021-07-24
1371750,2021-08-26
1191900,2021-04-09
1557040,2021-10-23
1595380,2021-09-06
1577660,2021-04-26
1259640,2021-02-26
1570080,2021-04-02
1413480,2021-05-25
442210,2021-04-30
1570760,2021-10-01
1851380,2021-12-28
1134570,2021-07-15
1451480,2021-07-02
1348800,2021-07-13
1072640,2021-08-25
1794780,2021-11-30
1420650,2021-06-19
1460050,2021-01-11
1530630,2021-03-24
1727000,2021-09-03
1372210,2021-09-29
1494950,2021-01-01
1573580,2021-04-29
1038370,2021-04-09
1197260,2021-02-26
843180,2021-04-28
1777750,2021-10-15
1606340,2021-08-17
1403080,2021-08-16
1288420,2021-07-21
1538460,2021-04-15
1502990,2021-04-22
1657810,2021-07-08
1653970,2021-12-02
1109820,2021-03-18
1461680,2021-02-09
1482490,2021-05-18
1571440,2021-04-15
1758450,2021-11-11
1638330,2021-11-17
1397650,2021-05-27
1158720,2021-04-16
1441230,2021-05-11
1335830,2021-11-26
1543240,2021-11-12
1092950,2021-03-31
1395400,2021-06-09
1372810,2021-03-01
1840490,2021-12-17
1715850,2021-09-15
1125880,2021-07-29
1447330,2021-04-05
1244460,2021-11-09
1027120,2021-02-16
1107300,2021-01-14
1445040,2021-03-01
1460490,2021-02-26
493520,2021-12-10
1642610,2021-06-11
1374280,2021-12-23
557950,2021-09-27
1538850,2021-10-26
1097130,2021-10-12
1648100,2021-07-29
1363740,2021-12-21
1123770,2021-02-23
1716120,2021-12-09
1566250,2021-03-31
1612960,2021-06-01
1143810,2021-07-09
1509590,2021-01-16
1651540,2021-08-12
1280950,2021-01-21
1574330,2021-04-01
1692060,2021-09-30
1705030,2021-11-16
1774700,2021-10-16
1601830,2021-12-11
1584810,2021-04-23
1432500,2021-05-06
1777280,2021-11-29
757310,2021-09-23
1546870,2021-03-19
1533050,2021-03-16
1123050,2021-08-02
1695080,2021-12-08
1739530,2021-12-31
1706190,2021-08-14
1074500,2021-07-13
1270080,2021-03-18
1632610,2021-05-27
1677410,2021-08-11
1716480,2021-11-28
1794300,2021-11-17
405010,2021-12-28
1508270,2021-03-19
