;appid;required_age;is_free;controller_support;dlc;metacritic;metacritic_tf;windows;mac;linux;platforms_num;recommendations;achievements;release_date;days_after_release
190;939330;0.0;True;0;4.0;;0;1.0;0.0;0.0;1.0;0.0;23.0;;
191;631570;0.0;False;0;1.0;77.0;1;1.0;1.0;0.0;2.0;1020.0;25.0;;
192;1147750;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
193;1104660;0.0;False;1;1.0;;0;1.0;0.0;0.0;1.0;3607.0;26.0;;
194;1106770;0.0;True;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;;
195;619150;0.0;False;1;3.0;;0;1.0;1.0;1.0;3.0;5718.0;31.0;;
196;1072420;0.0;False;1;0.0;85.0;1;1.0;0.0;0.0;1.0;5056.0;31.0;;
197;751780;0.0;False;1;0.0;78.0;1;1.0;0.0;0.0;1.0;27827.0;103.0;;
198;889510;0.0;False;0;31.0;;0;1.0;0.0;0.0;1.0;1716.0;51.0;;
199;969700;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;372.0;19.0;;
200;1042550;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;6691.0;103.0;;
201;976010;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;1518.0;16.0;;
202;784150;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;12423.0;0.0;;
203;839870;0.0;False;1;0.0;;0;1.0;1.0;0.0;2.0;338.0;32.0;;
204;1012560;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;1882.0;17.0;;
205;1043500;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;388.0;0.0;;
206;1070580;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;4568.0;41.0;;
207;657240;0.0;False;1;3.0;;0;1.0;0.0;0.0;1.0;878.0;15.0;;
208;1144110;0.0;True;1;2.0;;0;1.0;0.0;0.0;1.0;0.0;20.0;;
209;1065100;0.0;False;0;1.0;;0;1.0;1.0;0.0;2.0;393.0;22.0;;
210;1034940;0.0;False;0;0.0;;0;1.0;1.0;1.0;3.0;331.0;14.0;;
211;665370;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;1403.0;0.0;;
212;865570;0.0;True;0;0.0;;0;1.0;1.0;1.0;3.0;0.0;0.0;;
213;1132190;0.0;True;0;6.0;;0;1.0;0.0;0.0;1.0;0.0;80.0;;
214;559330;0.0;False;0;2.0;78.0;1;1.0;0.0;0.0;1.0;810.0;29.0;;
215;935880;0.0;False;0;4.0;;0;1.0;1.0;0.0;2.0;2320.0;40.0;;
216;589500;0.0;False;1;0.0;;0;1.0;1.0;1.0;3.0;606.0;45.0;;
217;774361;0.0;False;1;4.0;77.0;1;1.0;1.0;1.0;3.0;24530.0;45.0;;
218;1084020;0.0;False;0;0.0;;0;1.0;1.0;1.0;3.0;1484.0;35.0;;
219;1002290;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
220;1151080;0.0;True;0;0.0;;0;1.0;1.0;1.0;3.0;0.0;5.0;;
221;1039940;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;253.0;23.0;;
222;1173940;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;164.0;8.0;;
223;1068070;18.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;24.0;;
224;1055430;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;1737.0;74.0;;
225;422510;0.0;False;1;1.0;;0;1.0;1.0;0.0;2.0;680.0;29.0;;
226;1043180;0.0;True;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;15.0;;
227;925460;0.0;False;0;2.0;;0;1.0;1.0;0.0;2.0;206.0;20.0;;
228;931690;0.0;True;0;1.0;;0;1.0;1.0;1.0;3.0;0.0;11.0;;
229;1161770;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
230;1034900;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;721.0;15.0;;
231;1076880;0.0;False;0;0.0;;0;1.0;1.0;1.0;3.0;284.0;65.0;;
232;1055760;0.0;True;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;22.0;;
233;1170640;0.0;True;0;1.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;;
234;977230;0.0;False;1;0.0;;0;1.0;1.0;1.0;3.0;491.0;11.0;;
235;1010870;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;522.0;9.0;;
236;1148510;0.0;False;0;1.0;;0;1.0;1.0;0.0;2.0;3085.0;100.0;;
237;986280;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;172.0;2.0;;
238;1079450;0.0;False;0;0.0;;0;1.0;1.0;1.0;3.0;125.0;41.0;;
239;1172380;0.0;False;1;0.0;81.0;1;1.0;0.0;0.0;1.0;108806.0;39.0;;
240;1114030;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;7.0;;
241;714120;0.0;False;0;2.0;57.0;1;1.0;1.0;1.0;3.0;6206.0;35.0;;
242;562860;0.0;False;1;2.0;79.0;1;1.0;0.0;1.0;2.0;5802.0;30.0;;
243;931270;0.0;False;0;0.0;;0;1.0;1.0;1.0;3.0;384.0;7.0;;
244;742520;0.0;False;0;1.0;74.0;1;1.0;1.0;0.0;2.0;348.0;25.0;;
245;690640;0.0;False;1;4.0;81.0;1;1.0;0.0;0.0;1.0;8765.0;39.0;;
246;915460;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;1786.0;33.0;;
247;1032520;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;14.0;;
248;829660;0.0;False;1;1.0;;0;1.0;1.0;0.0;2.0;1056.0;67.0;;
249;898580;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;340.0;99.0;;
250;1026400;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;258.0;25.0;;
251;928600;0.0;;0;0.0;;0;;;;;0.0;0.0;;
252;1061090;0.0;False;1;1.0;;0;1.0;0.0;0.0;1.0;8954.0;48.0;;
253;1053680;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;3166.0;0.0;;
254;1065970;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;884.0;8.0;;
255;885000;0.0;False;0;54.0;83.0;1;1.0;0.0;0.0;1.0;1076.0;0.0;;
256;424200;0.0;False;1;0.0;;0;1.0;1.0;1.0;3.0;152.0;20.0;;
257;950740;0.0;False;0;3.0;;0;1.0;1.0;1.0;3.0;746.0;106.0;;
258;1075980;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;706.0;12.0;;
259;1117310;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;145.0;0.0;;
260;1160330;0.0;False;0;10.0;;0;1.0;0.0;0.0;1.0;375.0;20.0;;
261;1002300;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;1676.0;1.0;;
262;934860;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
263;1051200;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;2583.0;27.0;;
264;1092710;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
265;923810;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;400.0;20.0;;
266;544390;0.0;False;0;4.0;;0;1.0;1.0;0.0;2.0;887.0;25.0;;
267;985080;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;333.0;14.0;;
268;711540;0.0;False;1;5.0;80.0;1;1.0;1.0;0.0;2.0;1696.0;77.0;;
269;982270;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;1060.0;45.0;;
270;877810;0.0;False;0;1.0;;0;1.0;1.0;1.0;3.0;504.0;14.0;;
271;872130;18.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;591.0;69.0;;
272;937570;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;128.0;0.0;;
273;680590;0.0;False;0;1.0;;0;1.0;1.0;0.0;2.0;270.0;0.0;;
274;330020;0.0;False;1;3.0;82.0;1;1.0;1.0;1.0;3.0;12821.0;45.0;;
275;948900;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;472.0;13.0;;
276;1025070;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;247.0;0.0;;
277;1012630;0.0;False;1;1.0;;0;1.0;1.0;0.0;2.0;929.0;24.0;;
278;512890;0.0;False;1;1.0;68.0;1;1.0;1.0;1.0;3.0;231.0;0.0;;
279;227780;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;2651.0;42.0;;
280;1100600;0.0;False;0;1.0;84.0;1;1.0;1.0;0.0;2.0;17068.0;97.0;;
281;1173830;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;163.0;40.0;;
282;1153130;0.0;True;0;2.0;;0;1.0;0.0;0.0;1.0;0.0;7.0;;
283;794860;0.0;False;0;1.0;;0;1.0;1.0;0.0;2.0;482.0;12.0;;
