iter	Passed	Remaining
968	21557	689
969	21579	667
970	21602	645
971	21626	622
972	21647	600
973	21682	578
974	21706	556
975	21725	534
976	21745	511
977	21769	489
978	21790	467
979	21811	445
980	21831	422
981	21851	400
982	21871	378
983	21891	355
984	21912	333
985	21933	311
986	21954	289
987	21974	266
988	21995	244
989	22015	222
990	22035	200
991	22055	177
992	22075	155
993	22096	133
994	22116	111
995	22138	88
996	22161	66
997	22181	44
998	22202	22
999	22221	0
