;appid;required_age;is_free;controller_support;dlc;metacritic;metacritic_tf;windows;mac;linux;platforms_num;recommendations;achievements;release_date;days_after_release
1762;1463760;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-11-26;904.0
1763;1481020;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;12.0;2020-12-31;869.0
1764;1500490;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-12-30;870.0
1765;1269550;0.0;True;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-04-17;1127.0
1766;1255740;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;12.0;2020-05-21;1093.0
1767;1333360;0.0;;0;0.0;;0;;;;;0.0;0.0;2020-07-17;1036.0
1768;1215280;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;111.0;15.0;2020-04-09;1135.0
1769;869170;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;213.0;21.0;2020-03-27;1148.0
1770;1230510;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-02-27;1177.0
1771;1238330;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-03-06;1169.0
1772;976500;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;175.0;32.0;2020-04-16;1128.0
1773;1247020;0.0;False;0;0.0;77.0;1;1.0;1.0;1.0;3.0;0.0;12.0;2020-08-19;1003.0
1774;1226640;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;356.0;0.0;2020-12-21;879.0
1775;681790;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-02-27;1177.0
1776;741110;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;19.0;2020-09-22;969.0
1777;1101310;0.0;False;0;0.0;;0;1.0;1.0;1.0;3.0;0.0;12.0;2020-08-27;995.0
1778;1214200;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;8.0;2020-05-12;1102.0
1779;1226010;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-01-30;1205.0
1780;1341720;0.0;False;1;0.0;;0;1.0;1.0;1.0;3.0;0.0;32.0;2020-09-04;987.0
1781;1431220;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-10-15;946.0
1782;1450050;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;44.0;2020-11-12;918.0
1783;1489810;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-12-24;876.0
1784;804270;0.0;True;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;6.0;2020-05-18;1096.0
1785;1355310;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;37.0;2020-09-22;969.0
1786;1049590;0.0;True;0;4.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-10-14;947.0
1787;1203680;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;1.0;2020-01-20;1215.0
1788;1307090;0.0;False;0;5.0;;0;1.0;0.0;0.0;1.0;553.0;9.0;2020-09-11;980.0
1789;1175120;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;12.0;2020-05-14;1100.0
1790;1209450;0.0;True;1;3.0;;0;1.0;0.0;0.0;1.0;0.0;100.0;2020-04-16;1128.0
1791;368040;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;8.0;2020-10-09;952.0
1792;1384960;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;7.0;2020-08-20;1002.0
1793;1360670;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;27.0;2020-07-15;1038.0
1794;696150;0.0;False;1;1.0;;0;1.0;0.0;0.0;1.0;0.0;27.0;2020-07-11;1042.0
1795;1313050;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;0.0;40.0;2020-05-22;1092.0
1796;1135090;0.0;False;1;0.0;;0;1.0;1.0;0.0;2.0;0.0;3.0;2020-01-17;1218.0
1797;1091500;18.0;False;0;2.0;86.0;1;1.0;0.0;0.0;1.0;543329.0;44.0;2020-12-10;890.0
1798;1202170;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;52.0;2020-02-27;1177.0
1799;1335810;0.0;False;0;2.0;;0;1.0;1.0;0.0;2.0;0.0;13.0;2020-07-25;1028.0
1800;1197230;0.0;False;0;0.0;;0;1.0;1.0;1.0;3.0;0.0;17.0;2020-01-31;1204.0
1801;1202300;0.0;False;0;3.0;;0;1.0;0.0;0.0;1.0;0.0;15.0;2020-09-06;985.0
1802;1214980;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-07-09;1044.0
1803;1257900;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-06-25;1058.0
1804;1259600;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;8.0;2020-07-24;1029.0
1805;1267270;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-04-02;1142.0
1806;1423060;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;14.0;2020-12-02;898.0
1807;1440090;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-11-13;917.0
1808;1453250;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-11-18;912.0
1809;1420770;0.0;False;0;4.0;;0;1.0;0.0;0.0;1.0;737.0;0.0;2020-11-26;904.0
1810;1341170;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;151.0;40.0;2020-11-13;917.0
1811;1452630;0.0;True;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;6.0;2020-11-23;907.0
1812;1346240;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-07-03;1050.0
1813;710600;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;134.0;37.0;2020-01-18;1217.0
1814;1197030;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;15.0;2020-03-04;1171.0
1815;1446280;0.0;False;0;1.0;;0;1.0;1.0;0.0;2.0;0.0;61.0;2020-11-18;912.0
1816;1197620;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;14.0;2020-08-01;1021.0
1817;1082930;0.0;False;1;1.0;;0;1.0;1.0;0.0;2.0;184.0;28.0;2020-10-15;946.0
1818;1082180;0.0;False;1;2.0;;0;1.0;0.0;0.0;1.0;645.0;35.0;2020-03-19;1156.0
1819;1282600;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-04-30;1114.0
1820;1205950;0.0;;0;0.0;;0;;;;;0.0;0.0;2020-01-31;1204.0
1821;1333410;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;35.0;2020-06-19;1064.0
1822;364210;0.0;False;1;4.0;;0;1.0;0.0;0.0;1.0;0.0;31.0;2020-01-16;1219.0
1823;1275810;0.0;True;0;0.0;;0;1.0;1.0;1.0;3.0;0.0;27.0;2020-12-24;876.0
1824;1330550;0.0;False;0;1.0;;0;1.0;1.0;0.0;2.0;0.0;31.0;2020-07-09;1044.0
1825;1279000;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-04-20;1124.0
1826;1286670;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;20.0;2020-10-23;938.0
1827;839350;0.0;False;0;0.0;;0;1.0;0.0;1.0;2.0;0.0;34.0;2020-03-13;1162.0
1828;1117600;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;90.0;2020-11-30;900.0
1829;1134370;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;10.0;2020-03-04;1171.0
1830;1172150;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;10.0;2020-06-18;1065.0
1831;1183420;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;17.0;2020-05-07;1107.0
1832;1209570;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;18.0;2020-01-01;1234.0
1833;1210340;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;12.0;2020-05-27;1087.0
1834;1227130;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;9.0;2020-04-17;1127.0
1835;1230660;0.0;True;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;12.0;2020-10-26;935.0
1836;1259370;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;18.0;2020-09-21;970.0
1837;1273920;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-03-28;1147.0
1838;1275190;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;2020-04-27;1117.0
1839;1285180;0.0;False;0;2.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;2020-05-25;1089.0
1840;1290010;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-04-27;1117.0
1841;1292050;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-05-06;1108.0
1842;1313640;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;28.0;2020-05-28;1086.0
1843;1322010;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;10.0;2020-09-18;973.0
1844;1323950;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;50.0;2020-09-23;968.0
1845;1334970;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;32.0;2020-08-05;1017.0
1846;1340260;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;14.0;2020-07-16;1037.0
1847;1345190;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-07-31;1022.0
1848;1373630;0.0;False;0;0.0;;0;1.0;0.0;1.0;2.0;0.0;0.0;2020-08-14;1008.0
1849;1374050;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;9.0;2020-10-16;945.0
1850;1389530;0.0;True;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;2020-08-20;1002.0
1851;1406150;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;96.0;2020-11-09;921.0
1852;1412610;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;5.0;2020-10-01;960.0
1853;1425120;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-10-15;946.0
1854;1432480;0.0;False;1;1.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-11-05;925.0
1855;1464190;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-12-01;899.0
1856;1469800;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-12-15;885.0
1857;1283140;0.0;True;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;17.0;2020-05-29;1085.0
1858;1345370;0.0;False;1;0.0;;0;1.0;1.0;0.0;2.0;128.0;23.0;2020-10-15;946.0
1859;1153460;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-03-09;1166.0
1860;870090;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-03-13;1162.0
1861;1177080;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-06-22;1061.0
1862;1283830;0.0;True;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-05-04;1110.0
1863;1304170;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;1.0;2020-05-15;1099.0
1864;1307850;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;11.0;2020-05-19;1095.0
1865;1330820;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-11-06;924.0
1866;1339850;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-07-08;1045.0
1867;1227780;0.0;False;0;0.0;70.0;1;1.0;0.0;0.0;1.0;1506.0;0.0;2020-02-20;1184.0
1868;1374290;0.0;False;1;1.0;;0;1.0;0.0;0.0;1.0;373.0;6.0;2020-10-14;947.0
1869;1016860;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;321.0;0.0;2020-03-05;1170.0
1870;1254870;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;32.0;2020-05-22;1092.0
1871;1377380;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;7523.0;53.0;2020-08-28;994.0
1872;1265860;0.0;False;0;10.0;;0;1.0;0.0;0.0;1.0;1868.0;67.0;2020-07-10;1043.0
1873;1061610;0.0;False;1;1.0;;0;1.0;1.0;1.0;3.0;168.0;12.0;2020-10-21;940.0
1874;1205260;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;339.0;12.0;2020-10-01;960.0
1875;1457550;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;126.0;20.0;2020-12-18;882.0
1876;1091390;0.0;False;1;1.0;;0;1.0;0.0;1.0;2.0;0.0;0.0;2020-10-30;931.0
1877;1123080;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;28.0;2020-03-02;1173.0
1878;1261980;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;29.0;2020-05-20;1094.0
1879;1267930;0.0;False;0;0.0;79.0;1;1.0;0.0;0.0;1.0;0.0;0.0;2020-12-04;896.0
1880;1290790;0.0;False;1;0.0;;0;1.0;1.0;0.0;2.0;0.0;7.0;2020-05-04;1110.0
1881;1338830;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-07-16;1037.0
1882;1457370;0.0;True;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;7.0;2020-12-11;889.0
1883;1457480;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;4.0;2020-12-28;872.0
1884;1373550;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;580.0;14.0;2020-11-20;910.0
